cv_text,quiz_q1,quiz_q2,quiz_q3,quiz_q4,quiz_q5,personality_label,job_role_label
"Project manager with expertise in stakeholder management, Agile, and Scrum.",4,3,2,4,3,Extraverted,Project Manager
"Proven track record in client management, with expertise in negotiation and CRM.",1,1,4,2,4,Creative,Sales Executive
"Graphic designer experienced in Illustrator, Adobe Photoshop, and UX/UI design.",2,3,4,4,2,Openness,Graphic Designer
"Manager experienced in Agile, with background in Scrum and stakeholder management.",3,2,2,4,3,Openness,Project Manager
"Specialized in computer vision, with research experience in deep learning and natural language processing.",4,3,1,4,1,Creative,AI Researcher
"Software engineer with experience in Java, cloud computing, and Python.",3,3,4,3,1,Conscientious,Software Engineer
"Specialist in UX/UI design, with skills in Illustrator and Adobe Photoshop.",1,3,1,2,3,Conscientious,Graphic Designer
"Manager experienced in Agile, with background in Scrum and stakeholder management.",2,3,4,3,2,Openness,Project Manager
"Project manager with expertise in stakeholder management, Scrum, and Agile.",3,1,3,2,3,Extraverted,Project Manager
"Business analyst skilled in data modeling, requirement gathering, and process improvement.",2,1,3,3,3,Introverted,Business Analyst
"Software engineer with experience in Java, Python, and cloud computing.",3,1,1,4,1,Conscientious,Software Engineer
"Experienced in data modeling, with knowledge of requirement gathering and process improvement.",1,3,2,4,3,Openness,Business Analyst
"Specialist in Illustrator, with skills in Adobe Photoshop and UX/UI design.",3,1,3,4,1,Analytical,Graphic Designer
"Manager experienced in Agile, with background in Scrum and stakeholder management.",4,1,3,3,3,Creative,Project Manager
"Professional in SEO, experienced in digital campaigns and branding.",2,2,3,1,4,Conscientious,Marketing Manager
"Software engineer with experience in Python, cloud computing, and Java.",2,3,1,4,1,Analytical,Software Engineer
"Graphic designer experienced in UX/UI design, Illustrator, and Adobe Photoshop.",2,3,3,1,1,Conscientious,Graphic Designer
"Software engineer with experience in Python, Java, and cloud computing.",1,3,2,1,3,Introverted,Software Engineer
"HR professional skilled in employee engagement, HR policies, and recruitment.",2,3,4,3,3,Openness,HR Specialist
"Experienced in data visualization, with skills in SQL and machine learning.",1,2,3,3,1,Introverted,Data Analyst
"Specialized in deep learning, with research experience in computer vision and natural language processing.",1,3,4,4,4,Introverted,AI Researcher
"Sales executive with strong skills in CRM, negotiation, and client management.",1,2,3,1,1,Introverted,Sales Executive
"Proven track record in CRM, with expertise in client management and negotiation.",4,4,1,2,4,Analytical,Sales Executive
"Professional in SEO, experienced in branding and digital campaigns.",1,4,2,4,3,Extraverted,Marketing Manager
"Cybersecurity analyst skilled in risk assessment, ethical hacking, and network security.",3,1,2,3,2,Conscientious,Cybersecurity Analyst
"Marketing manager with focus on digital campaigns, SEO, and branding.",4,3,2,4,2,Analytical,Marketing Manager
"Experienced in requirement gathering, with knowledge of process improvement and data modeling.",2,1,1,2,2,Conscientious,Business Analyst
"Software engineer with experience in Java, Python, and cloud computing.",2,2,3,2,3,Creative,Software Engineer
"Software engineer with experience in cloud computing, Java, and Python.",4,1,1,1,1,Extraverted,Software Engineer
"Marketing manager with focus on digital campaigns, SEO, and branding.",4,3,3,2,3,Creative,Marketing Manager
"Proven track record in negotiation, with expertise in client management and CRM.",2,4,3,3,2,Introverted,Sales Executive
"Professional in branding, experienced in digital campaigns and SEO.",1,2,1,3,1,Analytical,Marketing Manager
"Project manager with expertise in Agile, Scrum, and stakeholder management.",2,1,1,2,3,Openness,Project Manager
"Specialized in deep learning, with research experience in computer vision and natural language processing.",4,2,4,4,1,Openness,AI Researcher
"Marketing manager with focus on branding, digital campaigns, and SEO.",2,1,3,3,1,Creative,Marketing Manager
"Software engineer with experience in cloud computing, Java, and Python.",4,2,4,2,1,Extraverted,Software Engineer
Expert in ethical hacking with hands-on experience in network security and risk assessment.,2,1,2,4,4,Analytical,Cybersecurity Analyst
"Marketing manager with focus on digital campaigns, SEO, and branding.",4,3,1,2,4,Extraverted,Marketing Manager
"Specialist in Illustrator, with skills in Adobe Photoshop and UX/UI design.",3,3,1,3,2,Extraverted,Graphic Designer
"Experienced in requirement gathering, with knowledge of data modeling and process improvement.",1,2,1,1,3,Conscientious,Business Analyst
"Professional in branding, experienced in SEO and digital campaigns.",1,4,2,3,1,Introverted,Marketing Manager
"Marketing manager with focus on SEO, digital campaigns, and branding.",3,3,4,4,4,Analytical,Marketing Manager
"Business analyst skilled in process improvement, data modeling, and requirement gathering.",1,2,4,1,4,Conscientious,Business Analyst
"Marketing manager with focus on digital campaigns, SEO, and branding.",2,4,2,1,2,Openness,Marketing Manager
"Specialized in computer vision, with research experience in deep learning and natural language processing.",2,4,1,1,1,Openness,AI Researcher
"Business analyst skilled in data modeling, process improvement, and requirement gathering.",1,1,4,4,3,Analytical,Business Analyst
"Cybersecurity analyst skilled in ethical hacking, network security, and risk assessment.",4,4,4,3,3,Extraverted,Cybersecurity Analyst
"Specialist in Adobe Photoshop, with skills in UX/UI design and Illustrator.",2,1,3,2,3,Analytical,Graphic Designer
Expert in network security with hands-on experience in risk assessment and ethical hacking.,2,1,4,2,1,Introverted,Cybersecurity Analyst
"Experienced in process improvement, with knowledge of requirement gathering and data modeling.",1,3,1,4,1,Analytical,Business Analyst
"Proven track record in client management, with expertise in CRM and negotiation.",4,3,4,1,4,Extraverted,Sales Executive
"Specialized in computer vision, with research experience in deep learning and natural language processing.",3,3,4,2,2,Openness,AI Researcher
"Proven track record in CRM, with expertise in client management and negotiation.",4,3,1,2,4,Creative,Sales Executive
"HR professional skilled in HR policies, recruitment, and employee engagement.",2,1,2,1,2,Conscientious,HR Specialist
"Cybersecurity analyst skilled in network security, ethical hacking, and risk assessment.",4,4,1,4,4,Introverted,Cybersecurity Analyst
"Experienced in data visualization, with skills in machine learning and SQL.",2,1,1,1,3,Analytical,Data Analyst
"Software engineer with experience in Python, cloud computing, and Java.",2,3,1,4,1,Openness,Software Engineer
"Project manager with expertise in stakeholder management, Agile, and Scrum.",3,2,2,4,4,Analytical,Project Manager
"Proven track record in client management, with expertise in CRM and negotiation.",4,1,4,2,2,Conscientious,Sales Executive
Expert in network security with hands-on experience in ethical hacking and risk assessment.,3,3,2,3,1,Introverted,Cybersecurity Analyst
"AI researcher with expertise in computer vision, deep learning, and natural language processing.",1,3,3,1,4,Extraverted,AI Researcher
"Cybersecurity analyst skilled in network security, risk assessment, and ethical hacking.",4,1,1,3,4,Openness,Cybersecurity Analyst
"Marketing manager with focus on SEO, branding, and digital campaigns.",2,4,2,3,4,Introverted,Marketing Manager
"Software engineer with experience in cloud computing, Python, and Java.",1,2,3,2,3,Creative,Software Engineer
"AI researcher with expertise in deep learning, natural language processing, and computer vision.",2,2,1,4,3,Introverted,AI Researcher
"Experienced in process improvement, with knowledge of requirement gathering and data modeling.",4,3,4,1,3,Conscientious,Business Analyst
"Data analyst proficient in machine learning, data visualization, and SQL.",4,1,4,4,1,Creative,Data Analyst
"Business analyst skilled in data modeling, requirement gathering, and process improvement.",1,1,1,3,4,Analytical,Business Analyst
"Experienced in machine learning, with skills in SQL and data visualization.",2,1,3,4,4,Analytical,Data Analyst
"Proven track record in CRM, with expertise in client management and negotiation.",2,1,3,3,4,Extraverted,Sales Executive
Expert in network security with hands-on experience in risk assessment and ethical hacking.,3,1,2,1,4,Introverted,Cybersecurity Analyst
"Proven track record in CRM, with expertise in client management and negotiation.",1,1,1,2,1,Introverted,Sales Executive
"Project manager with expertise in Agile, Scrum, and stakeholder management.",1,2,4,3,2,Creative,Project Manager
"Data analyst proficient in SQL, data visualization, and machine learning.",1,4,4,3,1,Extraverted,Data Analyst
"Experienced in process improvement, with knowledge of data modeling and requirement gathering.",1,4,4,3,4,Introverted,Business Analyst
"Cybersecurity analyst skilled in risk assessment, network security, and ethical hacking.",2,3,2,3,2,Analytical,Cybersecurity Analyst
"Experienced in machine learning, with skills in data visualization and SQL.",2,3,3,1,2,Analytical,Data Analyst
"Cybersecurity analyst skilled in ethical hacking, network security, and risk assessment.",4,3,3,3,1,Introverted,Cybersecurity Analyst
"Professional in SEO, experienced in digital campaigns and branding.",4,3,4,3,1,Conscientious,Marketing Manager
"Graphic designer experienced in UX/UI design, Illustrator, and Adobe Photoshop.",3,3,1,3,3,Analytical,Graphic Designer
"Specialized in natural language processing, with research experience in computer vision and deep learning.",1,1,3,3,4,Conscientious,AI Researcher
"Graphic designer experienced in Adobe Photoshop, UX/UI design, and Illustrator.",1,2,1,1,2,Conscientious,Graphic Designer
"Specialized in deep learning, with research experience in computer vision and natural language processing.",1,4,1,3,3,Introverted,AI Researcher
"Manager experienced in Scrum, with background in stakeholder management and Agile.",3,3,2,2,3,Analytical,Project Manager
"Experienced in recruitment, with knowledge of employee engagement and HR policies.",1,3,2,2,4,Creative,HR Specialist
"Experienced in SQL, with skills in data visualization and machine learning.",1,3,2,3,1,Creative,Data Analyst
"AI researcher with expertise in computer vision, deep learning, and natural language processing.",4,4,3,3,3,Introverted,AI Researcher
"Experienced in process improvement, with knowledge of data modeling and requirement gathering.",4,3,1,1,4,Introverted,Business Analyst
"HR professional skilled in employee engagement, recruitment, and HR policies.",4,2,1,3,3,Creative,HR Specialist
"Developer skilled in Python, Java, and cloud computing.",1,2,1,1,2,Extraverted,Software Engineer
"Specialized in deep learning, with research experience in computer vision and natural language processing.",3,3,4,4,1,Openness,AI Researcher
"Data analyst proficient in SQL, data visualization, and machine learning.",1,4,2,1,4,Introverted,Data Analyst
"Specialist in Illustrator, with skills in Adobe Photoshop and UX/UI design.",1,2,1,4,3,Extraverted,Graphic Designer
"Specialized in natural language processing, with research experience in computer vision and deep learning.",3,1,3,1,2,Extraverted,AI Researcher
"Data analyst proficient in machine learning, SQL, and data visualization.",2,4,2,2,1,Analytical,Data Analyst
"Experienced in process improvement, with knowledge of requirement gathering and data modeling.",2,3,3,2,3,Introverted,Business Analyst
"Data analyst proficient in SQL, data visualization, and machine learning.",3,1,1,3,1,Introverted,Data Analyst
"Specialized in computer vision, with research experience in natural language processing and deep learning.",4,2,4,3,3,Openness,AI Researcher
"HR professional skilled in employee engagement, HR policies, and recruitment.",2,1,1,3,2,Extraverted,HR Specialist
"Project manager with expertise in stakeholder management, Scrum, and Agile.",4,1,1,1,2,Creative,Project Manager
Expert in ethical hacking with hands-on experience in network security and risk assessment.,4,1,2,2,4,Extraverted,Cybersecurity Analyst
"Experienced in recruitment, with knowledge of HR policies and employee engagement.",2,3,4,2,1,Creative,HR Specialist
"Specialist in Illustrator, with skills in Adobe Photoshop and UX/UI design.",1,3,3,1,3,Extraverted,Graphic Designer
"AI researcher with expertise in natural language processing, computer vision, and deep learning.",2,2,3,2,2,Creative,AI Researcher
"Business analyst skilled in data modeling, process improvement, and requirement gathering.",3,3,4,1,3,Analytical,Business Analyst
"Business analyst skilled in requirement gathering, process improvement, and data modeling.",4,1,2,4,4,Extraverted,Business Analyst
"Business analyst skilled in data modeling, requirement gathering, and process improvement.",3,1,3,2,1,Analytical,Business Analyst
"Marketing manager with focus on SEO, branding, and digital campaigns.",4,4,3,1,3,Extraverted,Marketing Manager
"Marketing manager with focus on SEO, branding, and digital campaigns.",1,3,4,2,1,Conscientious,Marketing Manager
"Specialized in computer vision, with research experience in deep learning and natural language processing.",2,4,3,2,2,Introverted,AI Researcher
"Developer skilled in Java, Python, and cloud computing.",1,4,3,4,2,Introverted,Software Engineer
"Experienced in machine learning, with skills in data visualization and SQL.",3,3,3,1,3,Introverted,Data Analyst
"Business analyst skilled in data modeling, process improvement, and requirement gathering.",1,4,3,4,2,Analytical,Business Analyst
"Cybersecurity analyst skilled in risk assessment, ethical hacking, and network security.",4,4,4,3,1,Creative,Cybersecurity Analyst
"Marketing manager with focus on branding, SEO, and digital campaigns.",1,2,4,3,4,Conscientious,Marketing Manager
"Project manager with expertise in stakeholder management, Scrum, and Agile.",3,2,3,1,3,Openness,Project Manager
"Specialist in UX/UI design, with skills in Adobe Photoshop and Illustrator.",4,2,2,4,4,Introverted,Graphic Designer
"Software engineer with experience in cloud computing, Python, and Java.",3,1,2,2,1,Creative,Software Engineer
"Manager experienced in Scrum, with background in stakeholder management and Agile.",4,2,3,2,4,Conscientious,Project Manager
"Developer skilled in Python, Java, and cloud computing.",4,4,1,3,1,Introverted,Software Engineer
"Project manager with expertise in Scrum, stakeholder management, and Agile.",1,3,3,4,2,Creative,Project Manager
"Graphic designer experienced in Illustrator, Adobe Photoshop, and UX/UI design.",2,2,3,4,2,Creative,Graphic Designer
"Professional in SEO, experienced in branding and digital campaigns.",3,2,2,2,2,Analytical,Marketing Manager
"Specialist in UX/UI design, with skills in Illustrator and Adobe Photoshop.",3,4,4,3,4,Creative,Graphic Designer
"Data analyst proficient in data visualization, SQL, and machine learning.",2,1,1,4,2,Extraverted,Data Analyst
"Specialist in Adobe Photoshop, with skills in Illustrator and UX/UI design.",4,4,2,3,1,Creative,Graphic Designer
"Experienced in process improvement, with knowledge of requirement gathering and data modeling.",1,3,3,1,3,Extraverted,Business Analyst
Expert in risk assessment with hands-on experience in network security and ethical hacking.,3,2,1,3,3,Openness,Cybersecurity Analyst
"Business analyst skilled in requirement gathering, data modeling, and process improvement.",4,4,2,4,4,Extraverted,Business Analyst
"Software engineer with experience in Java, cloud computing, and Python.",4,2,1,2,2,Conscientious,Software Engineer
"AI researcher with expertise in natural language processing, deep learning, and computer vision.",4,1,3,3,1,Creative,AI Researcher
Expert in risk assessment with hands-on experience in ethical hacking and network security.,2,4,4,2,3,Conscientious,Cybersecurity Analyst
"AI researcher with expertise in deep learning, natural language processing, and computer vision.",1,4,3,4,4,Extraverted,AI Researcher
"HR professional skilled in HR policies, employee engagement, and recruitment.",3,2,2,1,3,Conscientious,HR Specialist
"Specialist in Adobe Photoshop, with skills in Illustrator and UX/UI design.",1,3,4,1,4,Openness,Graphic Designer
"Software engineer with experience in Python, Java, and cloud computing.",1,1,4,1,4,Conscientious,Software Engineer
"Business analyst skilled in data modeling, process improvement, and requirement gathering.",1,4,2,2,4,Extraverted,Business Analyst
"Marketing manager with focus on branding, SEO, and digital campaigns.",3,4,3,2,4,Openness,Marketing Manager
"Manager experienced in Agile, with background in stakeholder management and Scrum.",1,1,4,3,3,Conscientious,Project Manager
"Experienced in machine learning, with skills in data visualization and SQL.",1,1,4,4,1,Conscientious,Data Analyst
"AI researcher with expertise in deep learning, computer vision, and natural language processing.",4,2,3,1,2,Creative,AI Researcher
Expert in ethical hacking with hands-on experience in network security and risk assessment.,3,1,1,4,1,Extraverted,Cybersecurity Analyst
"Specialized in computer vision, with research experience in natural language processing and deep learning.",2,4,2,1,3,Creative,AI Researcher
"Experienced in requirement gathering, with knowledge of data modeling and process improvement.",2,1,4,3,1,Introverted,Business Analyst
"Data analyst proficient in data visualization, SQL, and machine learning.",1,1,1,1,2,Analytical,Data Analyst
"HR professional skilled in recruitment, HR policies, and employee engagement.",2,4,2,1,1,Conscientious,HR Specialist
"Sales executive with strong skills in negotiation, CRM, and client management.",4,1,4,1,3,Introverted,Sales Executive
"Developer skilled in Python, cloud computing, and Java.",3,1,2,1,2,Conscientious,Software Engineer
"Experienced in recruitment, with knowledge of employee engagement and HR policies.",2,2,2,4,3,Introverted,HR Specialist
"Experienced in data visualization, with skills in machine learning and SQL.",1,1,3,4,2,Openness,Data Analyst
"HR professional skilled in HR policies, recruitment, and employee engagement.",1,1,4,2,3,Openness,HR Specialist
"Developer skilled in Python, Java, and cloud computing.",4,1,4,2,1,Creative,Software Engineer
"Sales executive with strong skills in negotiation, client management, and CRM.",2,3,4,1,2,Extraverted,Sales Executive
"Software engineer with experience in cloud computing, Java, and Python.",4,1,1,4,3,Creative,Software Engineer
"Specialist in Illustrator, with skills in UX/UI design and Adobe Photoshop.",1,4,3,1,3,Analytical,Graphic Designer
"Specialized in natural language processing, with research experience in deep learning and computer vision.",3,1,2,3,2,Extraverted,AI Researcher
"Experienced in requirement gathering, with knowledge of process improvement and data modeling.",4,3,2,4,4,Introverted,Business Analyst
"Professional in digital campaigns, experienced in SEO and branding.",1,4,1,1,2,Openness,Marketing Manager
"Experienced in data modeling, with knowledge of process improvement and requirement gathering.",2,1,2,2,1,Analytical,Business Analyst
"Professional in SEO, experienced in branding and digital campaigns.",1,4,4,1,2,Analytical,Marketing Manager
"Specialist in Adobe Photoshop, with skills in Illustrator and UX/UI design.",3,1,4,2,3,Extraverted,Graphic Designer
"Business analyst skilled in process improvement, data modeling, and requirement gathering.",3,1,4,3,1,Introverted,Business Analyst
"Developer skilled in cloud computing, Java, and Python.",2,3,1,1,2,Conscientious,Software Engineer
"Software engineer with experience in Java, cloud computing, and Python.",1,4,2,1,2,Conscientious,Software Engineer
"HR professional skilled in employee engagement, recruitment, and HR policies.",1,4,4,3,2,Conscientious,HR Specialist
"Professional in branding, experienced in SEO and digital campaigns.",1,2,2,1,3,Extraverted,Marketing Manager
Expert in risk assessment with hands-on experience in ethical hacking and network security.,3,2,2,3,3,Conscientious,Cybersecurity Analyst
"Manager experienced in Agile, with background in stakeholder management and Scrum.",4,2,2,4,3,Openness,Project Manager
"Experienced in process improvement, with knowledge of requirement gathering and data modeling.",3,2,3,4,2,Conscientious,Business Analyst
"Proven track record in CRM, with expertise in negotiation and client management.",3,4,3,2,4,Conscientious,Sales Executive
"Graphic designer experienced in UX/UI design, Adobe Photoshop, and Illustrator.",4,4,4,3,1,Creative,Graphic Designer
"Business analyst skilled in requirement gathering, process improvement, and data modeling.",1,1,2,4,3,Conscientious,Business Analyst
"HR professional skilled in recruitment, HR policies, and employee engagement.",1,1,2,1,2,Openness,HR Specialist
"Experienced in HR policies, with knowledge of employee engagement and recruitment.",3,2,3,2,1,Openness,HR Specialist
"Experienced in SQL, with skills in data visualization and machine learning.",2,4,1,1,4,Openness,Data Analyst
"Specialist in Adobe Photoshop, with skills in Illustrator and UX/UI design.",1,4,2,2,2,Analytical,Graphic Designer
"Business analyst skilled in process improvement, data modeling, and requirement gathering.",1,3,4,1,1,Extraverted,Business Analyst
"Specialist in Illustrator, with skills in Adobe Photoshop and UX/UI design.",3,1,2,2,1,Extraverted,Graphic Designer
"Graphic designer experienced in UX/UI design, Illustrator, and Adobe Photoshop.",2,3,3,3,3,Openness,Graphic Designer
"HR professional skilled in HR policies, recruitment, and employee engagement.",4,3,2,2,4,Analytical,HR Specialist
"Marketing manager with focus on branding, SEO, and digital campaigns.",4,1,3,1,1,Introverted,Marketing Manager
"Experienced in requirement gathering, with knowledge of process improvement and data modeling.",1,1,1,3,3,Openness,Business Analyst
"Specialized in deep learning, with research experience in computer vision and natural language processing.",2,3,3,3,3,Creative,AI Researcher
"HR professional skilled in recruitment, employee engagement, and HR policies.",4,1,1,4,4,Extraverted,HR Specialist
"Manager experienced in Agile, with background in Scrum and stakeholder management.",4,3,4,3,4,Conscientious,Project Manager
"Cybersecurity analyst skilled in risk assessment, ethical hacking, and network security.",2,3,2,2,2,Extraverted,Cybersecurity Analyst
"Experienced in machine learning, with skills in data visualization and SQL.",3,1,2,2,4,Introverted,Data Analyst
"Professional in digital campaigns, experienced in branding and SEO.",1,2,1,4,1,Extraverted,Marketing Manager
"Specialist in Illustrator, with skills in UX/UI design and Adobe Photoshop.",4,3,4,3,4,Openness,Graphic Designer
"Project manager with expertise in Scrum, stakeholder management, and Agile.",4,2,4,3,2,Analytical,Project Manager
"Experienced in recruitment, with knowledge of employee engagement and HR policies.",1,1,2,2,2,Openness,HR Specialist
"AI researcher with expertise in natural language processing, deep learning, and computer vision.",3,4,2,2,2,Introverted,AI Researcher
"Marketing manager with focus on SEO, digital campaigns, and branding.",1,3,1,4,3,Openness,Marketing Manager
"Data analyst proficient in SQL, machine learning, and data visualization.",2,1,4,3,2,Analytical,Data Analyst
"Manager experienced in Scrum, with background in stakeholder management and Agile.",4,1,4,1,1,Extraverted,Project Manager
"AI researcher with expertise in computer vision, deep learning, and natural language processing.",4,3,1,2,2,Analytical,AI Researcher
"Sales executive with strong skills in negotiation, client management, and CRM.",1,4,2,3,4,Introverted,Sales Executive
"Software engineer with experience in Java, cloud computing, and Python.",3,4,3,1,2,Introverted,Software Engineer
"Experienced in data modeling, with knowledge of requirement gathering and process improvement.",1,3,2,2,4,Conscientious,Business Analyst
"Project manager with expertise in Scrum, stakeholder management, and Agile.",4,2,1,2,2,Introverted,Project Manager
"Developer skilled in cloud computing, Java, and Python.",1,2,2,1,1,Conscientious,Software Engineer
"AI researcher with expertise in deep learning, computer vision, and natural language processing.",1,2,4,2,4,Introverted,AI Researcher
"Graphic designer experienced in Illustrator, UX/UI design, and Adobe Photoshop.",4,3,2,1,3,Extraverted,Graphic Designer
"Experienced in recruitment, with knowledge of employee engagement and HR policies.",4,2,4,1,4,Conscientious,HR Specialist
"Experienced in recruitment, with knowledge of HR policies and employee engagement.",1,1,1,3,1,Extraverted,HR Specialist
"Graphic designer experienced in Adobe Photoshop, Illustrator, and UX/UI design.",3,1,3,2,2,Analytical,Graphic Designer
"Software engineer with experience in Java, cloud computing, and Python.",4,1,1,4,1,Openness,Software Engineer
"Graphic designer experienced in Adobe Photoshop, UX/UI design, and Illustrator.",4,1,3,2,1,Conscientious,Graphic Designer
"Project manager with expertise in Agile, Scrum, and stakeholder management.",2,2,1,3,3,Introverted,Project Manager
"AI researcher with expertise in natural language processing, deep learning, and computer vision.",4,2,4,4,1,Conscientious,AI Researcher
"Specialized in computer vision, with research experience in deep learning and natural language processing.",4,1,3,3,2,Conscientious,AI Researcher
"Sales executive with strong skills in CRM, negotiation, and client management.",3,3,1,1,1,Analytical,Sales Executive
