cv_text,quiz_q1,quiz_q2,quiz_q3,quiz_q4,quiz_q5,personality_label,job_role_label
"Finance expert with background in financial modeling, investment analysis, and risk management.",1,3,1,3,1,Introverted,Sales Executive
"Software Engineer with 5 years experience in Python, Java, and cloud computing.",3,2,1,4,3,Extraverted,Data Analyst
"Marketing specialist with expertise in SEO, content strategy, and branding.",4,1,3,3,3,Analytical,Software Engineer
"Sales executive with strong negotiation skills, CRM knowledge, and client management.",3,1,1,3,4,Neurotic,HR Manager
"AI researcher with expertise in deep learning, NLP, and computer vision.",1,1,1,4,4,Creative,Data Analyst
"Graphic designer skilled in Adobe Photoshop, Illustrator, and UI/UX design.",3,4,3,3,1,Openness,Cybersecurity Analyst
"Marketing specialist with expertise in SEO, content strategy, and branding.",4,1,4,3,1,Openness,Graphic Designer
"Sales executive with strong negotiation skills, CRM knowledge, and client management.",2,3,4,3,2,Openness,Cybersecurity Analyst
"HR professional with experience in recruitment, employee engagement, and HR policies.",2,1,2,2,3,Neurotic,Project Manager
"Project manager with experience in Agile, Scrum, and stakeholder management.",1,1,3,1,1,Neurotic,Sales Executive
"Project manager with experience in Agile, Scrum, and stakeholder management.",1,2,2,2,1,Extraverted,Cybersecurity Analyst
"Marketing specialist with expertise in SEO, content strategy, and branding.",4,1,1,3,1,Conscientious,Graphic Designer
"Software Engineer with 5 years experience in Python, Java, and cloud computing.",3,3,3,4,1,Extraverted,Finance Analyst
"Software Engineer with 5 years experience in Python, Java, and cloud computing.",1,2,2,2,1,Openness,Graphic Designer
"Software Engineer with 5 years experience in Python, Java, and cloud computing.",4,1,1,1,3,Openness,Project Manager
"Sales executive with strong negotiation skills, CRM knowledge, and client management.",1,2,1,3,1,Openness,Data Analyst
"Data analyst with proficiency in SQL, machine learning, and data visualization.",2,2,3,2,2,Conscientious,Graphic Designer
"HR professional with experience in recruitment, employee engagement, and HR policies.",1,3,1,2,3,Agreeable,Finance Analyst
"AI researcher with expertise in deep learning, NLP, and computer vision.",2,2,4,2,3,Creative,AI Researcher
"Software Engineer with 5 years experience in Python, Java, and cloud computing.",2,2,4,1,4,Creative,Software Engineer
"Software Engineer with 5 years experience in Python, Java, and cloud computing.",1,4,4,4,2,Openness,AI Researcher
"Data analyst with proficiency in SQL, machine learning, and data visualization.",1,1,3,2,2,Extraverted,Graphic Designer
"Marketing specialist with expertise in SEO, content strategy, and branding.",2,4,4,4,4,Neurotic,HR Manager
"Sales executive with strong negotiation skills, CRM knowledge, and client management.",3,3,4,1,2,Conscientious,Cybersecurity Analyst
"HR professional with experience in recruitment, employee engagement, and HR policies.",1,3,2,1,4,Analytical,Cybersecurity Analyst
"Sales executive with strong negotiation skills, CRM knowledge, and client management.",3,1,3,3,1,Creative,AI Researcher
"Marketing specialist with expertise in SEO, content strategy, and branding.",1,3,3,1,3,Conscientious,Data Analyst
"Project manager with experience in Agile, Scrum, and stakeholder management.",3,1,2,1,1,Extraverted,Project Manager
