cv_text,quiz_q1,quiz_q2,quiz_q3,quiz_q4,quiz_q5,personality_label,job_role_label
"Nature conservation officer with expertise in branding, wireframing, prototyping.",4,2,3,2,4,Creative,Graphic Designer
"Environmental education officer with expertise in branding, customer engagement, analytics.",2,2,3,2,2,Extraverted,Marketing Manager
"Insurance underwriter with expertise in onboarding, benefits management, talent acquisition.",4,2,3,3,2,Extraverted,HR Manager
"Sound technician, broadcasting/film/video with expertise in Excel, financial models, budgeting.",4,2,1,1,4,Analytical,Financial Analyst
"Therapist, horticultural with expertise in SEO, analytics, campaigns.",1,1,3,4,4,Extraverted,Marketing Manager
"Exhibitions officer, museum/gallery with expertise in statistics, Power BI, data visualization.",2,1,1,3,1,Openness,Data Analyst
"Broadcast presenter with expertise in firewall, network security, incident response.",2,2,4,3,2,Analytical,Cybersecurity Analyst
"Therapist, horticultural with expertise in Adobe Creative Suite, wireframing, branding.",3,1,4,1,3,Creative,Graphic Designer
"Facilities manager with expertise in deep learning, data mining, predictive analytics.",1,1,4,2,2,Openness,Data Scientist
"Personal assistant with expertise in UI/UX, wireframing, branding.",1,2,4,2,2,Creative,Graphic Designer
"Statistician with expertise in Python, APIs, DevOps.",2,4,1,2,3,Openness,Software Engineer
"Cartographer with expertise in Scrum, budgeting, risk management.",4,4,1,4,4,Introverted,Project Manager
"Fine artist with expertise in Scrum, Agile, budgeting.",2,4,4,1,4,Introverted,Project Manager
"Applications developer with expertise in branding, wireframing, Adobe Creative Suite.",1,1,2,1,1,Creative,Graphic Designer
"Editor, film/video with expertise in incident response, penetration testing, risk assessment.",4,2,1,3,3,Analytical,Cybersecurity Analyst
"Retail manager with expertise in cloud computing, Java, APIs.",2,4,4,1,1,Openness,Software Engineer
"General practice doctor with expertise in network security, penetration testing, firewall.",4,2,1,3,2,Analytical,Cybersecurity Analyst
"Therapist, art with expertise in Adobe Creative Suite, prototyping, wireframing.",2,3,2,1,4,Creative,Graphic Designer
"Ceramics designer with expertise in risk management, Agile, Scrum.",1,1,1,3,1,Introverted,Project Manager
"Furniture designer with expertise in analytics, SEO, campaigns.",1,2,2,4,1,Extraverted,Marketing Manager
"Armed forces logistics/support/administrative officer with expertise in benefits management, onboarding, HRIS.",4,2,3,3,3,Extraverted,HR Manager
"Ophthalmologist with expertise in Python, deep learning, predictive analytics.",1,1,3,3,1,Openness,Data Scientist
"Surveyor, building with expertise in campaigns, branding, SEO.",4,4,3,4,2,Extraverted,Marketing Manager
"Interpreter with expertise in campaigns, SEO, customer engagement.",4,1,1,4,4,Extraverted,Marketing Manager
"Hydrogeologist with expertise in branding, campaigns, customer engagement.",4,3,3,1,2,Extraverted,Marketing Manager
"Air cabin crew with expertise in financial models, risk management, forecasting.",4,3,3,2,2,Analytical,Financial Analyst
"Engineer, electrical with expertise in predictive analytics, statistics, data mining.",1,3,4,1,3,Openness,Data Scientist
"Programmer, applications with expertise in analytics, SEO, campaigns.",1,3,2,4,3,Extraverted,Marketing Manager
"Engineer, electronics with expertise in customer engagement, branding, SEO.",2,4,3,4,3,Extraverted,Marketing Manager
"Print production planner with expertise in financial models, Excel, forecasting.",1,4,4,2,1,Analytical,Financial Analyst
"Games developer with expertise in machine learning, Power BI, statistics.",3,4,3,4,1,Openness,Data Analyst
"Ranger/warden with expertise in forecasting, risk management, budgeting.",2,3,1,3,2,Analytical,Financial Analyst
"Chiropodist with expertise in employee engagement, HRIS, benefits management.",1,1,2,3,4,Extraverted,HR Manager
"Diagnostic radiographer with expertise in Java, cloud computing, DevOps.",3,3,4,3,4,Openness,Software Engineer
"Recruitment consultant with expertise in analytics, campaigns, SEO.",3,1,3,1,3,Extraverted,Marketing Manager
"Trade mark attorney with expertise in data mining, statistics, predictive analytics.",4,3,4,3,2,Openness,Data Scientist
"Press sub with expertise in talent acquisition, HRIS, employee engagement.",3,2,1,4,2,Extraverted,HR Manager
"Call centre manager with expertise in Scrum, risk management, stakeholder management.",2,2,3,3,2,Introverted,Project Manager
"Medical laboratory scientific officer with expertise in HRIS, benefits management, onboarding.",3,2,3,2,3,Extraverted,HR Manager
"Medical technical officer with expertise in Power BI, statistics, machine learning.",3,2,1,3,1,Openness,Data Analyst
"Waste management officer with expertise in talent acquisition, benefits management, onboarding.",1,3,4,1,1,Extraverted,HR Manager
"Financial trader with expertise in Power BI, SQL, data visualization.",1,4,1,4,2,Openness,Data Analyst
"Pharmacist, community with expertise in Scrum, stakeholder management, budgeting.",4,3,4,2,3,Introverted,Project Manager
"Sports administrator with expertise in deep learning, statistics, data mining.",1,1,2,4,3,Openness,Data Scientist
"Press sub with expertise in DevOps, Python, cloud computing.",4,4,4,4,4,Openness,Software Engineer
"Field trials officer with expertise in wireframing, prototyping, UI/UX.",4,1,3,3,3,Creative,Graphic Designer
"Sales executive with expertise in data mining, statistics, predictive analytics.",1,1,3,1,4,Openness,Data Scientist
"Engineer, electrical with expertise in Python, DevOps, Java.",3,3,4,4,2,Openness,Software Engineer
"Mining engineer with expertise in wireframing, prototyping, UI/UX.",2,1,3,2,3,Creative,Graphic Designer
"Fitness centre manager with expertise in financial models, risk management, Excel.",3,3,1,1,3,Analytical,Financial Analyst
"Therapist, occupational with expertise in branding, campaigns, customer engagement.",1,3,2,2,2,Extraverted,Marketing Manager
"Therapist, nutritional with expertise in APIs, DevOps, Java.",1,2,4,2,1,Openness,Software Engineer
"Scientific laboratory technician with expertise in data mining, predictive analytics, deep learning.",4,3,3,4,4,Openness,Data Scientist
"Education officer, environmental with expertise in APIs, Python, cloud computing.",4,4,4,2,2,Openness,Software Engineer
"Geochemist with expertise in Power BI, statistics, machine learning.",4,4,2,3,3,Openness,Data Analyst
"Mental health nurse with expertise in Agile, stakeholder management, budgeting.",4,2,4,4,1,Introverted,Project Manager
"Financial controller with expertise in deep learning, data mining, Python.",2,3,2,3,4,Openness,Data Scientist
"Tour manager with expertise in statistics, data mining, predictive analytics.",3,1,1,1,2,Openness,Data Scientist
"Surveyor, commercial/residential with expertise in Scrum, risk management, stakeholder management.",3,2,4,3,1,Introverted,Project Manager
"Archivist with expertise in employee engagement, talent acquisition, HRIS.",3,3,2,4,2,Extraverted,HR Manager
"Doctor, hospital with expertise in data mining, predictive analytics, Python.",2,1,2,4,1,Openness,Data Scientist
"Psychologist, forensic with expertise in machine learning, data visualization, Power BI.",3,3,3,3,1,Openness,Data Analyst
"Industrial buyer with expertise in risk management, budgeting, Excel.",3,4,1,3,2,Analytical,Financial Analyst
"Cabin crew with expertise in Java, Python, cloud computing.",4,2,4,1,3,Openness,Software Engineer
"Surveyor, rural practice with expertise in Adobe Creative Suite, UI/UX, wireframing.",4,1,2,3,3,Creative,Graphic Designer
"Translator with expertise in machine learning, Power BI, SQL.",2,1,3,4,3,Openness,Data Analyst
"Theme park manager with expertise in prototyping, branding, wireframing.",2,1,1,2,3,Creative,Graphic Designer
"Sound technician, broadcasting/film/video with expertise in wireframing, UI/UX, branding.",1,3,2,1,4,Creative,Graphic Designer
"Horticulturist, commercial with expertise in branding, campaigns, customer engagement.",3,2,1,4,1,Extraverted,Marketing Manager
"Social researcher with expertise in risk management, Scrum, stakeholder management.",2,3,1,2,1,Introverted,Project Manager
"Curator with expertise in customer engagement, SEO, analytics.",2,2,1,2,4,Extraverted,Marketing Manager
"Scientist, marine with expertise in cloud computing, APIs, Python.",1,4,1,3,4,Openness,Software Engineer
"Higher education careers adviser with expertise in benefits management, HRIS, onboarding.",2,1,3,2,2,Extraverted,HR Manager
"Social researcher with expertise in data visualization, machine learning, SQL.",1,2,4,2,4,Openness,Data Analyst
"Geophysicist/field seismologist with expertise in network security, incident response, penetration testing.",2,2,4,4,4,Analytical,Cybersecurity Analyst
"Associate Professor with expertise in statistics, Power BI, machine learning.",3,3,4,3,3,Openness,Data Analyst
"Therapeutic radiographer with expertise in Excel, forecasting, budgeting.",4,2,3,3,2,Analytical,Financial Analyst
"Podiatrist with expertise in statistics, machine learning, Power BI.",2,4,4,3,4,Openness,Data Analyst
"Curator with expertise in incident response, network security, risk assessment.",2,4,3,2,2,Analytical,Cybersecurity Analyst
"Retail banker with expertise in branding, SEO, analytics.",4,3,2,2,2,Extraverted,Marketing Manager
"Therapeutic radiographer with expertise in SQL, machine learning, Power BI.",2,4,2,3,4,Openness,Data Analyst
"Biomedical scientist with expertise in wireframing, UI/UX, branding.",4,2,4,1,4,Creative,Graphic Designer
"Quality manager with expertise in forecasting, Excel, budgeting.",1,3,2,4,3,Analytical,Financial Analyst
"Educational psychologist with expertise in incident response, risk assessment, network security.",2,2,1,3,1,Analytical,Cybersecurity Analyst
"Air traffic controller with expertise in benefits management, onboarding, employee engagement.",4,4,2,4,2,Extraverted,HR Manager
"Press sub with expertise in Adobe Creative Suite, prototyping, branding.",2,4,1,1,1,Creative,Graphic Designer
"Fast food restaurant manager with expertise in penetration testing, network security, firewall.",3,2,3,3,4,Analytical,Cybersecurity Analyst
"Environmental health practitioner with expertise in Python, deep learning, data mining.",4,2,1,1,2,Openness,Data Scientist
"Museum/gallery exhibitions officer with expertise in employee engagement, talent acquisition, benefits management.",2,4,1,2,1,Extraverted,HR Manager
"Visual merchandiser with expertise in branding, wireframing, Adobe Creative Suite.",4,3,1,2,4,Creative,Graphic Designer
"Event organiser with expertise in APIs, Java, DevOps.",4,1,2,3,1,Openness,Software Engineer
"Conservator, furniture with expertise in HRIS, benefits management, employee engagement.",2,3,4,4,3,Extraverted,HR Manager
"Dispensing optician with expertise in firewall, risk assessment, network security.",2,4,4,4,2,Analytical,Cybersecurity Analyst
"Therapist, art with expertise in HRIS, benefits management, employee engagement.",4,1,1,2,4,Extraverted,HR Manager
"Retail banker with expertise in Power BI, statistics, data visualization.",1,2,4,4,1,Openness,Data Analyst
"Minerals surveyor with expertise in data visualization, SQL, machine learning.",2,4,4,3,1,Openness,Data Analyst
"Medical secretary with expertise in Python, data mining, statistics.",3,3,1,2,4,Openness,Data Scientist
"Sports coach with expertise in statistics, Power BI, SQL.",4,2,4,4,3,Openness,Data Analyst
"Air broker with expertise in employee engagement, talent acquisition, onboarding.",4,4,1,3,4,Extraverted,HR Manager
"Museum/gallery exhibitions officer with expertise in customer engagement, analytics, SEO.",3,3,4,1,4,Extraverted,Marketing Manager
"Scientist, research (physical sciences) with expertise in analytics, SEO, branding.",2,4,4,1,1,Extraverted,Marketing Manager
"Financial controller with expertise in Agile, stakeholder management, budgeting.",1,4,1,4,3,Introverted,Project Manager
"Claims inspector/assessor with expertise in incident response, network security, penetration testing.",4,2,1,1,3,Analytical,Cybersecurity Analyst
"Diplomatic Services operational officer with expertise in risk assessment, incident response, firewall.",3,1,1,4,1,Analytical,Cybersecurity Analyst
"Structural engineer with expertise in Adobe Creative Suite, branding, wireframing.",3,3,1,2,2,Creative,Graphic Designer
"TEFL teacher with expertise in risk assessment, incident response, penetration testing.",4,3,2,2,3,Analytical,Cybersecurity Analyst
"Conservator, museum/gallery with expertise in firewall, incident response, network security.",3,4,1,2,2,Analytical,Cybersecurity Analyst
"Marine scientist with expertise in campaigns, SEO, customer engagement.",2,4,2,3,1,Extraverted,Marketing Manager
"Journalist, magazine with expertise in SQL, machine learning, statistics.",3,1,4,2,2,Openness,Data Analyst
"Glass blower/designer with expertise in data visualization, Power BI, statistics.",1,2,2,1,2,Openness,Data Analyst
"Education administrator with expertise in Python, data mining, statistics.",2,3,1,1,1,Openness,Data Scientist
"Ship broker with expertise in employee engagement, HRIS, onboarding.",4,4,2,4,1,Extraverted,HR Manager
"Banker with expertise in stakeholder management, budgeting, risk management.",2,4,4,1,2,Introverted,Project Manager
"Forensic scientist with expertise in statistics, predictive analytics, data mining.",2,2,2,2,4,Openness,Data Scientist
"Commercial art gallery manager with expertise in deep learning, data mining, statistics.",1,3,3,1,2,Openness,Data Scientist
"Press photographer with expertise in onboarding, benefits management, talent acquisition.",1,2,2,2,4,Extraverted,HR Manager
"Office manager with expertise in Java, DevOps, APIs.",2,1,4,3,4,Openness,Software Engineer
"Secondary school teacher with expertise in stakeholder management, budgeting, risk management.",4,1,3,1,2,Introverted,Project Manager
"Equities trader with expertise in prototyping, wireframing, branding.",3,4,4,4,4,Creative,Graphic Designer
"Television production assistant with expertise in employee engagement, benefits management, HRIS.",1,2,1,3,3,Extraverted,HR Manager
"Engineer, broadcasting (operations) with expertise in SQL, statistics, Power BI.",1,3,1,2,4,Openness,Data Analyst
"Scientist, research (life sciences) with expertise in forecasting, budgeting, financial models.",3,3,1,3,3,Analytical,Financial Analyst
"Mudlogger with expertise in predictive analytics, Python, statistics.",1,2,2,3,2,Openness,Data Scientist
"Economist with expertise in analytics, customer engagement, branding.",2,2,4,4,1,Extraverted,Marketing Manager
"Product designer with expertise in onboarding, talent acquisition, benefits management.",1,3,1,1,2,Extraverted,HR Manager
"Social worker with expertise in budgeting, risk management, Scrum.",4,3,1,2,4,Introverted,Project Manager
"IT technical support officer with expertise in cloud computing, Python, APIs.",2,3,4,2,4,Openness,Software Engineer
"Doctor, general practice with expertise in UI/UX, Adobe Creative Suite, wireframing.",2,4,4,2,4,Creative,Graphic Designer
"Professor Emeritus with expertise in prototyping, Adobe Creative Suite, UI/UX.",4,4,3,4,3,Creative,Graphic Designer
"Industrial buyer with expertise in SEO, analytics, customer engagement.",1,3,2,4,2,Extraverted,Marketing Manager
"Retail buyer with expertise in analytics, customer engagement, SEO.",4,1,4,1,3,Extraverted,Marketing Manager
"Librarian, academic with expertise in predictive analytics, data mining, statistics.",1,2,1,4,4,Openness,Data Scientist
"Location manager with expertise in talent acquisition, benefits management, HRIS.",4,3,4,1,2,Extraverted,HR Manager
"Surveyor, mining with expertise in statistics, data visualization, SQL.",3,3,3,1,1,Openness,Data Analyst
"Programmer, applications with expertise in UI/UX, wireframing, branding.",2,3,3,1,1,Creative,Graphic Designer
"TEFL teacher with expertise in budgeting, forecasting, Excel.",2,4,1,1,2,Analytical,Financial Analyst
"Investment banker, corporate with expertise in campaigns, branding, customer engagement.",3,1,2,3,3,Extraverted,Marketing Manager
"Scientist, clinical (histocompatibility and immunogenetics) with expertise in firewall, risk assessment, incident response.",3,1,2,2,3,Analytical,Cybersecurity Analyst
"Retail banker with expertise in cloud computing, APIs, Java.",3,1,3,1,1,Openness,Software Engineer
"Forensic scientist with expertise in Power BI, machine learning, statistics.",3,4,3,4,1,Openness,Data Analyst
"Fine artist with expertise in talent acquisition, onboarding, benefits management.",1,2,2,2,4,Extraverted,HR Manager
"Community education officer with expertise in budgeting, Scrum, risk management.",3,4,2,3,2,Introverted,Project Manager
"Haematologist with expertise in SEO, branding, analytics.",3,2,2,2,2,Extraverted,Marketing Manager
"Video editor with expertise in data mining, statistics, deep learning.",3,1,2,1,4,Openness,Data Scientist
"Astronomer with expertise in data visualization, SQL, machine learning.",1,3,4,4,3,Openness,Data Analyst
"Sport and exercise psychologist with expertise in risk assessment, firewall, penetration testing.",2,2,3,4,2,Analytical,Cybersecurity Analyst
"Health and safety inspector with expertise in cloud computing, DevOps, APIs.",1,4,4,4,3,Openness,Software Engineer
"Human resources officer with expertise in DevOps, Java, APIs.",3,3,3,1,1,Openness,Software Engineer
"Journalist, magazine with expertise in statistics, data mining, deep learning.",1,4,3,1,2,Openness,Data Scientist
"Furniture designer with expertise in financial models, Excel, risk management.",4,1,3,1,3,Analytical,Financial Analyst
"Chief of Staff with expertise in employee engagement, talent acquisition, benefits management.",4,3,1,1,3,Extraverted,HR Manager
"Police officer with expertise in budgeting, risk management, Scrum.",2,1,1,1,1,Introverted,Project Manager
"International aid/development worker with expertise in budgeting, financial models, risk management.",2,2,2,2,1,Analytical,Financial Analyst
"Colour technologist with expertise in wireframing, branding, prototyping.",2,4,4,3,4,Creative,Graphic Designer
"Health physicist with expertise in budgeting, risk management, forecasting.",2,3,2,2,2,Analytical,Financial Analyst
"Animal nutritionist with expertise in prototyping, Adobe Creative Suite, branding.",1,2,3,1,2,Creative,Graphic Designer
"Advertising copywriter with expertise in forecasting, risk management, Excel.",3,4,4,1,1,Analytical,Financial Analyst
"Set designer with expertise in wireframing, branding, UI/UX.",3,2,4,3,4,Creative,Graphic Designer
"Commercial art gallery manager with expertise in APIs, Java, Python.",3,2,4,1,2,Openness,Software Engineer
"Chiropodist with expertise in financial models, forecasting, risk management.",1,2,3,4,3,Analytical,Financial Analyst
"Optometrist with expertise in data mining, statistics, Python.",4,3,1,2,3,Openness,Data Scientist
"Librarian, public with expertise in data mining, Python, deep learning.",3,4,2,4,2,Openness,Data Scientist
"Technical author with expertise in data visualization, statistics, SQL.",3,4,3,1,3,Openness,Data Analyst
"Risk manager with expertise in Power BI, data visualization, statistics.",1,2,1,3,2,Openness,Data Analyst
"Data processing manager with expertise in customer engagement, branding, SEO.",1,2,4,1,3,Extraverted,Marketing Manager
"Occupational therapist with expertise in budgeting, risk management, forecasting.",2,4,2,4,3,Analytical,Financial Analyst
"Ophthalmologist with expertise in analytics, campaigns, branding.",1,3,1,2,1,Extraverted,Marketing Manager
"Buyer, industrial with expertise in campaigns, SEO, customer engagement.",2,2,3,3,1,Extraverted,Marketing Manager
"Environmental education officer with expertise in machine learning, statistics, Power BI.",1,2,4,4,3,Openness,Data Analyst
"Administrator with expertise in forecasting, financial models, Excel.",1,3,3,1,4,Analytical,Financial Analyst
"Equality and diversity officer with expertise in risk management, Agile, stakeholder management.",3,1,3,4,2,Introverted,Project Manager
"Mental health nurse with expertise in customer engagement, SEO, branding.",3,1,2,1,3,Extraverted,Marketing Manager
"IT trainer with expertise in Adobe Creative Suite, UI/UX, prototyping.",4,3,3,2,1,Creative,Graphic Designer
"Editor, film/video with expertise in talent acquisition, employee engagement, benefits management.",4,1,4,2,1,Extraverted,HR Manager
"Nurse, adult with expertise in cloud computing, Python, DevOps.",2,2,4,4,2,Openness,Software Engineer
"Journalist, newspaper with expertise in Python, APIs, Java.",2,4,4,2,1,Openness,Software Engineer
"Textile designer with expertise in Python, cloud computing, Java.",2,3,2,2,2,Openness,Software Engineer
"Purchasing manager with expertise in risk management, forecasting, budgeting.",2,3,2,3,3,Analytical,Financial Analyst
"Radio broadcast assistant with expertise in stakeholder management, risk management, budgeting.",2,2,2,4,4,Introverted,Project Manager
"Financial manager with expertise in predictive analytics, deep learning, statistics.",3,2,2,4,1,Openness,Data Scientist
"Wellsite geologist with expertise in data visualization, statistics, SQL.",3,1,3,4,3,Openness,Data Analyst
"Magazine features editor with expertise in customer engagement, SEO, branding.",4,1,4,4,4,Extraverted,Marketing Manager
"Private music teacher with expertise in incident response, risk assessment, network security.",4,3,4,3,1,Analytical,Cybersecurity Analyst
"Civil engineer, consulting with expertise in cloud computing, Python, APIs.",2,4,4,3,3,Openness,Software Engineer
"Theatre stage manager with expertise in Adobe Creative Suite, wireframing, branding.",2,1,3,1,2,Creative,Graphic Designer
"Research officer, political party with expertise in benefits management, HRIS, employee engagement.",4,2,2,3,4,Extraverted,HR Manager
"Restaurant manager, fast food with expertise in customer engagement, analytics, branding.",2,1,1,3,4,Extraverted,Marketing Manager
"Psychologist, counselling with expertise in SEO, campaigns, branding.",1,3,2,2,3,Extraverted,Marketing Manager
"Printmaker with expertise in Scrum, stakeholder management, Agile.",3,4,3,2,1,Introverted,Project Manager
"Minerals surveyor with expertise in risk management, Excel, forecasting.",3,3,2,2,2,Analytical,Financial Analyst
"Make with expertise in incident response, risk assessment, firewall.",4,2,1,3,2,Analytical,Cybersecurity Analyst
"Retail manager with expertise in Agile, Scrum, risk management.",3,2,1,4,1,Introverted,Project Manager
"Hydrographic surveyor with expertise in UI/UX, prototyping, Adobe Creative Suite.",2,3,2,4,4,Creative,Graphic Designer
"Clinical scientist, histocompatibility and immunogenetics with expertise in Adobe Creative Suite, UI/UX, prototyping.",4,2,1,3,2,Creative,Graphic Designer
"Merchandiser, retail with expertise in talent acquisition, HRIS, benefits management.",4,4,4,4,2,Extraverted,HR Manager
"Building surveyor with expertise in data mining, predictive analytics, deep learning.",1,2,4,2,1,Openness,Data Scientist
"Lawyer with expertise in Adobe Creative Suite, UI/UX, prototyping.",4,1,2,2,2,Creative,Graphic Designer
"Engineer, biomedical with expertise in risk management, budgeting, stakeholder management.",1,3,3,1,2,Introverted,Project Manager
"Mental health nurse with expertise in Excel, budgeting, forecasting.",1,3,3,1,1,Analytical,Financial Analyst
"Herpetologist with expertise in Python, deep learning, statistics.",4,1,4,4,1,Openness,Data Scientist
"Personnel officer with expertise in risk management, budgeting, Excel.",2,4,3,1,2,Analytical,Financial Analyst
"Psychologist, sport and exercise with expertise in risk management, stakeholder management, Agile.",3,1,2,4,1,Introverted,Project Manager
"Phytotherapist with expertise in budgeting, forecasting, Excel.",4,1,2,1,3,Analytical,Financial Analyst
"Engineer, manufacturing systems with expertise in APIs, DevOps, Python.",1,2,2,4,3,Openness,Software Engineer
"Dramatherapist with expertise in incident response, penetration testing, network security.",1,1,2,3,1,Analytical,Cybersecurity Analyst
"Economist with expertise in campaigns, analytics, branding.",2,2,1,3,4,Extraverted,Marketing Manager
"Armed forces training and education officer with expertise in statistics, predictive analytics, Python.",3,4,2,2,3,Openness,Data Scientist
"Surveyor, building control with expertise in wireframing, Adobe Creative Suite, branding.",1,1,2,3,1,Creative,Graphic Designer
"Loss adjuster, chartered with expertise in benefits management, talent acquisition, HRIS.",3,1,4,1,1,Extraverted,HR Manager
"Health physicist with expertise in talent acquisition, HRIS, employee engagement.",4,2,2,4,3,Extraverted,HR Manager
"Fisheries officer with expertise in deep learning, data mining, Python.",1,3,1,3,3,Openness,Data Scientist
"Police officer with expertise in talent acquisition, HRIS, employee engagement.",1,2,2,1,4,Extraverted,HR Manager
"Manufacturing engineer with expertise in UI/UX, branding, wireframing.",4,2,4,4,1,Creative,Graphic Designer
"Surveyor, rural practice with expertise in campaigns, SEO, branding.",2,1,1,2,2,Extraverted,Marketing Manager
"Water quality scientist with expertise in risk assessment, firewall, penetration testing.",3,1,4,2,3,Analytical,Cybersecurity Analyst
"Lawyer with expertise in DevOps, Python, cloud computing.",2,3,3,3,3,Openness,Software Engineer
"Theme park manager with expertise in campaigns, customer engagement, branding.",4,1,2,1,4,Extraverted,Marketing Manager
"Risk manager with expertise in Scrum, risk management, budgeting.",4,4,1,2,1,Introverted,Project Manager
"Pathologist with expertise in data visualization, Power BI, machine learning.",2,2,4,2,2,Openness,Data Analyst
"Land with expertise in Excel, risk management, financial models.",1,4,3,1,2,Analytical,Financial Analyst
"Production assistant, television with expertise in UI/UX, Adobe Creative Suite, branding.",2,3,3,4,1,Creative,Graphic Designer
"Farm manager with expertise in SEO, customer engagement, campaigns.",1,1,3,4,4,Extraverted,Marketing Manager
"Scientist, clinical (histocompatibility and immunogenetics) with expertise in wireframing, prototyping, UI/UX.",3,3,2,3,1,Creative,Graphic Designer
"Building surveyor with expertise in wireframing, UI/UX, branding.",2,3,3,3,3,Creative,Graphic Designer
"Educational psychologist with expertise in machine learning, SQL, Power BI.",2,2,2,3,3,Openness,Data Analyst
"Media buyer with expertise in SEO, customer engagement, campaigns.",4,4,4,1,1,Extraverted,Marketing Manager
"Warehouse manager with expertise in predictive analytics, data mining, Python.",1,4,4,4,2,Openness,Data Scientist
"Bookseller with expertise in penetration testing, network security, firewall.",2,2,4,3,4,Analytical,Cybersecurity Analyst
"Medical technical officer with expertise in risk management, stakeholder management, Agile.",2,4,3,1,3,Introverted,Project Manager
"Airline pilot with expertise in customer engagement, analytics, campaigns.",1,1,3,1,3,Extraverted,Marketing Manager
"Curator with expertise in financial models, Excel, budgeting.",4,4,4,4,3,Analytical,Financial Analyst
"Programmer, multimedia with expertise in statistics, machine learning, data visualization.",2,2,2,2,3,Openness,Data Analyst
"Museum/gallery exhibitions officer with expertise in budgeting, stakeholder management, Scrum.",1,1,1,3,3,Introverted,Project Manager
"Midwife with expertise in Agile, Scrum, budgeting.",2,4,1,4,2,Introverted,Project Manager
"Forensic psychologist with expertise in customer engagement, branding, analytics.",1,4,1,3,4,Extraverted,Marketing Manager
"Nurse, mental health with expertise in budgeting, Excel, financial models.",3,1,4,1,1,Analytical,Financial Analyst
"Psychiatrist with expertise in HRIS, onboarding, talent acquisition.",2,1,3,2,3,Extraverted,HR Manager
"Records manager with expertise in customer engagement, campaigns, SEO.",2,2,4,1,4,Extraverted,Marketing Manager
"Insurance claims handler with expertise in statistics, SQL, machine learning.",1,1,4,4,3,Openness,Data Analyst
"Research scientist (life sciences) with expertise in Scrum, Agile, risk management.",4,1,3,1,1,Introverted,Project Manager
"Sports coach with expertise in budgeting, risk management, forecasting.",3,3,1,3,2,Analytical,Financial Analyst
"Marine scientist with expertise in data mining, deep learning, predictive analytics.",4,2,1,2,2,Openness,Data Scientist
"Civil engineer, consulting with expertise in SQL, Power BI, data visualization.",3,3,2,2,2,Openness,Data Analyst
"Administrator with expertise in SQL, statistics, machine learning.",2,1,3,4,3,Openness,Data Analyst
"Technical brewer with expertise in Java, DevOps, Python.",2,2,1,4,2,Openness,Software Engineer
"Engineer, site with expertise in talent acquisition, employee engagement, onboarding.",4,1,3,2,2,Extraverted,HR Manager
"Banker with expertise in firewall, penetration testing, risk assessment.",2,2,3,2,2,Analytical,Cybersecurity Analyst
"Corporate investment banker with expertise in Scrum, stakeholder management, Agile.",3,1,3,1,1,Introverted,Project Manager
"Producer, television/film/video with expertise in financial models, Excel, risk management.",2,2,3,2,1,Analytical,Financial Analyst
"Equality and diversity officer with expertise in Agile, risk management, budgeting.",1,1,4,4,2,Introverted,Project Manager
